,title,jobtype,description,location,salary,job site
277,Data Scientist,,"3+ years of experience managing analysis / data science teams.Maintains industry leading knowledge of data science theory and techniques, particularly as…","Columbus, OH",,Indeed
278,Data Scientist,,"Appreciation for opportunities at the intersections of data science and biology.Expertise in Python and relevant data science packages (e.g. pandas, scipy,…","Cambridge, MA",,Indeed
279,Data Scientist,Remote,"Excellent SQL - hands on experience manipulating data sets, data cleaning, and pipelines.3+ years industry experience developing, launching, and iterating on…",Remote•Remote,,Indeed
280,Data Scientist,,Experience in a data science role - preferably in the digital advertising industry and/or product analytics.Experience working with Adobe clickstream data.,"Austin, TX",,Indeed
281,Data Scientist,,"10-15 years data science background including data analytics, visualization, study design, and statistical methods.","Santa Clara Valley, CA 95014",,Indeed
282,Data Scientist,,"Knowledge of Python and Python based data science / DSP oriented libraries (e.g. Pandas, numpy, scipy, numba and cupy).","Fredericksburg, VA",,Indeed
283,Machine learning Engineer,Remote,"Passionate about data, analytics, and automation.An Engineering Degree in computer science or a relevant engineering field.Write robust and testable code.",Remote•Remote,,Indeed
284,Data Scientist,,"BS degree in statistics, machine learning, or data science.MS degree in statistics, machine learning, or data science.",United States,,Indeed
285,Data Scientist,,"Currently a Masters higher education in a related field of study – e.g. Computer science, NLP and ML.We cater to all the flagship products, applications and…","Waltham, MA 02451",,Indeed
286,Data Engineer,,"Transformand analyzelarge volumes of data, combining customer and consumer data, as well as many other 3P data sources.Helping lead change management for team.","Rogers, AR 72756",,Indeed
287,Data Analyst ,Remote,"Experience using SQL or other programming language to write complex queries, perform data analysis, extract data, and manipulate data (2+ years).","Huntsville, AL 35801•Remote",,Indeed
288,Machine learning Engineer,,The Portfolio Architect is responsible for architecture and solution design of complex applications built using AI/ ML and optimization techniques to improve…,"Atlanta, GA",,Indeed
289,Data Scientist,,Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling.,"Detroit, MI 48226 (Downtown area)",,Indeed
290,Data Scientist,,"Lead projects that use innovative data science methods (such as open source programming, machine learning; data linkage; statistical analysis; and big data…","Washington, DC",,Indeed
291,Data Engineer,Remote,Sheppard and shape the data by developing efficient structures and schema for the data in storage and transit.Proficient in Java/Scala/Python/Spark.,Remote•Remote,,Indeed
292,Data Scientist,,"Extensive experience in data science, machine learning, statistics, or applied mathematics.Support the development and facilitation of analytics training…","Cincinnati, OH 45245",,Indeed
293,Data Scientist,Remote,Assist in the design and implementation of enterprise-scale data models and pipelines for remote sensing data.5+ years relevant work experience required.,"Champaign, IL•Remote","$99,450.00 ",Indeed
294,Data Engineer,Remote,Sheppard and shape the data by developing efficient structures and schema for the data in storage and transit.Proficient in Java/Scala/Python/Spark.,Remote•Remote,,Indeed
295,Data Scientist,,"Experience designing a data science roadmap and executing the vision behind it.Track record of recruiting talent in analytics, data science, and software…","Seattle, WA 98109 (South Lake Union area)",,Indeed
296,Data Scientist,,At least 3 years of professional computer science / data science / software engineering experience or a PhD in a relevant field.You are a good fit if you have:,Remote,,Indeed
297,Data Scientist,Remote,"7-10 years of commercial experience in a data science role solving high impact business problems.Experience creating data product strategies, data products,…","Myrtle Point, OR 97458•Remote",,Indeed
298,Data Analyst ,Remote,From the data we have.Answer tough questions that come up by analyzing our data and provide insights gained from analyzing data.And by collecting new data.,California•Remote,,Indeed
299,Data Scientist,Remote,"You will be responsible for driving and democratizing insights about our core businesses, working cross-functionally with key business leaders to set business…","San Francisco Bay Area, CA•Remote",,Indeed
300,Data Scientist,,"Collaborate with other data scientists and stakeholders on projects.Masters in Stats, computer science or related field.Developing solutions in R or Python.","Nashville, TN 37203+6 locations",,Indeed
301,Data Scientist,Remote,Respond to difficult data science-related challenges in a timely manner while effectively balancing competing priorities.,Remote•Remote,,Indeed
302,Data Scientist,,"This person will collaborate with medical and basic science researchers in design, pipeline processing, analysis, and publication of cancer studies involving…","Boston, MA 02215 (Mission Hill area)",,Indeed
303,Data Scientist,,Helps deepen and expand the data science toolkits available to Farmers.Supports complex and often vague business challenges involving data science for Farmers.,"Woodland Hills, CA",,Indeed
304,Data Scientist,Remote,Be a strong partner with data engineering teams on the data ecosystem and an advocate for the requirements of data scientists and data visualization engineers.,"Seattle, WA 98101 (Downtown area)•Remote",,Indeed
305,Data Scientist,,,"College Park, MD 20742",,Indeed
306,Data Scientist,,Experience managing a team of data scientists or data science projects.Blizzard data science team develops machine learning data products to enrich player…,"Irvine, CA 92618",,Indeed
307,Data Engineer,,"Transformand analyzelarge volumes of data, combining customer and consumer data, as well as many other 3P data sources.Helping lead change management for team.","Rogers, AR 72756",,Indeed
308,Data Scientist,Temporarily Remote,"4+ years experience in data science or engineering roles, building and launching successful data-driven products at scale.","New York, NY•Temporarily Remote",,Indeed
309,Data Engineer,,"Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights visually in a meaningful way.","Burlingame, CA 94010+10 locations",,Indeed
310,Data Analyst ,,"Advanced proficiency in more than one (1) data management platform or data analysis software, eg., R Studio.Serve as point person for data questions.","Austin, TX 78712 (University of Texas area)",,Indeed
311,Postdoctoral Researcher,,"Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","Berkeley, CA 94720","$62,500.00 ",Indeed
312,Data Scientist,,Developing into a world-class data science team.Contribute as a team player to the data science team.Analyze business problems and create data solutions.,"Seattle, WA 98103+1 location (Fremont area)",,Indeed
313,Data Scientist,,Provides advanced data science expertise to AstraZeneca projects and recommends data science solutions.The team is looking for a Principal Data Scientist to…,"Waltham, MA 02451+2 locations",,Indeed
314,Data Scientist,,"Strong interest in vehicle big data, such as CAN and location based data.Report data analytic result, propose improvement idea and execute development plan.","Detroit, MI",,Indeed
315,Data Scientist,,It will drive core metrics and help to produce annotated data sets that empower engineering teams across Siri to improve Siri using data.,"Seattle, WA",,Indeed
316,Data Scientist,,"Data Science Consultants (DSCs) design, develop and execute high-impact analytics solutions for large, complex, structured and unstructured data sets (including…","San Francisco, CA+2 locations",,Indeed
317,Data Scientist,,Solid understanding on ML model deployment and creation of CICD pipelines for data science workloads.Relocation assistance may be provided for candidates…,"San Francisco, CA (North Waterfront area)",,Indeed
318,Data Scientist,,SVP will enable an event driven data platform that productizes our data end to end around EG common data domains.Strong analytical and problem-solving skills.,"Austin, TX 78758+1 location (North Austin area)",,Indeed
319,Data Science professor,,"The appointment would be made at the Visiting Assistant Professor level and carry a teaching load of 3 quarter-length courses/year, focusing on upper-division…","Santa Barbara, CA 93106",,Indeed
320,Machine learning Engineer,Remote,"An ability to consider biases that exist in the data and develop solutions to mitigate biases appropriately.We are looking for a Senior Machine Learning, Data…",Remote+4 locations•Remote,,Indeed
321,Data Scientist,,One to three years of work experience in data and research science or analytics.Work with engineers to evangelize data best practices and implement analytics…,"Minneapolis-Saint Paul, MN",,Indeed
322,Data Scientist,,Work independently and/or with data science and analytics team to carry out data analysis on large data sets;Development of custom data models and algorithm on…,"Morgantown, WV 26506",,Indeed
323,Data Scientist,,"They will help establish and execute within frameworks to acquire, consolidate and operationalize data with a focus on data quality, data integration and data…","Farmington, CT 06032",,Indeed
324,Data Scientist,,Strong competency with Python and the Python data science ecosystem.The individual must possess competency in the application of data science methods to solve…,"Corning, NY 14831",,Indeed
325,Data Engineer,Remote,Collaborate with a data-focused Product Manager to improve the coverage and accuracy of our data products.Build out the next generation of our editorial tools…,"San Francisco, CA•Remote",,Indeed
326,Data Engineer,,Develop ETL data pipelines to transform and process data between multiple data zones.Develop Repeatable and Reusable data pipelines as part of the data lake…,"McLean, VA 22102",,Indeed
327,Data Analyst ,,"Identifies specific user needs, compiles data and interprets data patterns and trends.Skill in translating large amounts of data.","Austin, TX 78751 (Triangle State area)","$59,832.00 ",Indeed
328,Statistician,,Analyzes and interprets data from various sources.The Statistician will analyze and interpret data from various sources and provide expert opinions.,"Houston, TX 77056 (Greater Uptown area)",,Indeed
329,Postdoctoral Researcher,,"The successful candidate will coordinate data collection and analysis from large, multi-center clinical studies, and will interpret data for manuscript…","Salt Lake City, UT 84112 (East Bench area)","$48,500.00 ",Indeed
330,Data Analyst ,,"Data science team part of Data & Analytics organization is looking for a creative, analytical mind who loves data, is curious to explore, and wants to impact…","Alpharetta, GA",,Indeed
331,Data Analyst ,Remote,Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data…,New York State•Remote,,Indeed
332,Data Engineer,,4-5 years experience in SAP BODS.Experienced in Data Migration from Legacy/ECC to S/4 HANA.Knowledge about SAP OTC transactions and mapping.,"Reading, PA+2 locations",,Indeed
333,Data Scientist,,"Assess algorithm performance on real-world data.Bachelor’s, Master’s, or PhD in computer science, physical sciences, engineering, or mathematics.","Huntsville, AL",,Indeed
334,Postdoctoral Researcher,,"Successful candidates will perform independent research in the areas of machine learning, computer vision, imaging science and statistics, will mentor junior…","Morgantown, WV 26506",,Indeed
335,Statistician,,Assess data quality and completeness.Prepares HEOR data as background materials for discussion with pharmaceutical customers.,United States+5 locations,"$102,100.00 ",Indeed
336,Data Engineer,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,Remote•Remote,,Indeed
337,Data Analyst ,Remote,Analyze data to provide new insights or data points for further analysis.Ability to work with text data for analysis and creation of new data points.,Remote•Remote,,Indeed
338,Data Scientist,Remote,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.","San Francisco, CA 94104 (Financial District area)•Remote",,Indeed
339,Data Scientist,,Deliver compelling data visualizations that enable data driven decision making in the product design process.Develop automated data pipelines for synchronizing…,"Santa Clara Valley, CA 95014",,Indeed
340,Data Scientist,Remote,"Translate complex data and methodology into operationally practical insights.Proficiency with data visualization tools (D3.js, R Shiny, Looker, Tableau or…","Center, TX•Remote",,Indeed
341,Data Scientist,,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","San Antonio, TX+3 locations",,Indeed
342,Data Scientist,,Analyze data to research and improvement classifiers.Proficiency in data exploration techniques and tools.Oversee creation of data sets for machine learning…,"Sunnyvale, CA 94085",,Indeed
343,Data Analyst ,,Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis.,"Fremont, CA",,Indeed
344,Data Scientist,Remote,"Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…",Remote+8 locations•Remote,,Indeed
345,Data Scientist,,"Demonstrate strength in SQL, NoSQL, ETL modeling, data modeling, data caching, schema design and data warehouse architecture.","Lehi, UT 84043+1 location",,Indeed
346,Data Scientist,,"Master's or PhD in Computer Science, Linguistics, a data-driven physical science, or equivalent.This is an unusual opportunity that sits at the cutting-edge of…","Seattle, WA",,Indeed
347,Data Engineer,,"Work experience related to data engineering, information, and data management.Data Engineers work with data consumers to create and populate optimal data…","Washington, DC 20505 (Foggy Bottom area)","$111,711.50 ",Indeed
348,Data Scientist,Remote,"You use data science tools like SQL and Python (pandas, numpy) and you have a track record of picking up new tools along the way.",Remote•Remote,,Indeed
349,Data Analyst ,,"Modifies scripts or software applications to support data management, data extraction and data analysis as required.The minimum pay rate is $25.59 per hour.","Rochester, MN 55901",,Indeed
350,Data Science professor,,"Working Title Goodnight Distinguished Professor in Artificial Intelligence and Machine Learning.The Department of Computer Science is an academic, teaching,…","Raleigh, NC",,Indeed
351, Data Science professor,,Create data tools for analytics and data science teams.Wrangle data model modifications to accommodate source data changes.A strong sense of ownership.,"San Francisco, CA",,Indeed
352, Statistician,,Experience tracking full statistical data for basketball games.The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full…,"Boca Raton, FL 33431",,Indeed
353,Data Engineer,,Expose data as consumable data sources for analytics via APIs and data virtualization services such as Denodo.Able to clearly define data quality issues.,"Durham, NC",,Indeed
354,Statistician,,"Advise data management staff on database design, and critical data.Provide expert statistical input into and review of statistical deliverables (i.e. analysis…","Durham, NC",,Indeed
355,Data Scientist,,Works closely with data scientists and data engineers to develop machine learning algorithms.Provide expert leadership at the enterprise level related to vast…,"Brookfield, WI+3 locations",,Indeed
356,Data Engineer,,"Hands on experience as a database, data warehouse, big data/analytics developer or administrator, or work as a data scientist.","Chicago, IL",,Indeed
357,Data Engineer,,"HII- Technical Solutions Division (TSD) is currently seeking a Data Engineer in either their San Antonio, TX or Annapolis Junction, MD office who will be able…","San Antonio, TX 78251",,Indeed
358,Data Scientist,Remote,"Tactical: develop meaningful data models in commonly used data science packages (Python, R, etc).Ability to expand solutions’ reach into OT environment …","Milwaukee, WI•Remote",,Indeed
359,Data Analyst ,,Responsibilities beyond developing data analysis solutions may include participation in component and data architecture design technology planning product…,"Detroit, MI 48201 (Midtown area)",,Indeed
360,Data Analyst ,,You will be involved with researching administrative and auxiliary data sources to enhance the transportation data.U.S. Department of Transportation (DOT).,"Washington, DC",,Indeed
361,Data Analyst ,,"Priority will be given to candidates with teaching/research interests in business analytics, and experience in data mining, data visualization tools, machine…","Northridge, CA 91330",,Indeed
362,Data Scientist,,Actively contributing in the data science recruiting strategy across Enterprise Analytics.Experience founding and managing data science teams and acting as a…,"Wellesley, MA",,Indeed
363,Data Analyst ,,"2+ years’ data analytics experience in a business context.You have that curious streak - want to investigate that data point, find that insight, understand how…","Seattle, WA 98119+1 location (Queen Anne area)",,Indeed
364,Data Scientist,,Provides advanced data science expertise to AstraZeneca projects and recommends data science solutions.The team is looking for a Senior Data Scientist to…,"Waltham, MA 02451+2 locations",,Indeed
365,Data Engineer,,"Experience with large-scale data warehousing architecture and data modeling.As a member of the Data Product Engineering team, you will work closely with…","San Francisco, CA 94103 (South of Market area)",,Indeed
366,Data Scientist,,"Training and development opportunities at cutting edge data-science conferences across the country.Their ability to understand, navigate, and manipulate a…","Glen Allen, VA 23060",,Indeed
367,Data Scientist,,At least three years of applicable data science experience.Ability to skillfully apply data science principles and theory.,"Redwood City, CA",,Indeed
368,Data Scientist,Remote,Data Science is all about breaking new ground to enable businesses to answer their most urgent questions.Solve complex business and customer issues utilizing…,"Houston, TX•Remote",,Indeed
369,Data Scientist,,"Knowledge of applied statistical analysis, modeling techniques, and data visualization methods.Title: Data Science & Analytics Development Program 2021b -…","Moline, IL 61265",,Indeed
370,Data Scientist,,"Experience with data gathering, data quality, system architecture, coding best practices.Experience with perception (e.g. computer vision), time series data (e…","Richardson, TX 75082",,Indeed
371,Data Scientist,,Works with clients to manage and explore data to discover business opportunities.Assists in the implementation of sophisticated models with their systems and…,United States,,Indeed
372,Data Scientist,,Influence priorities: Review market conventions and data relationships to set rules for data validation.Proficiency using data and statistical modeling and…,"Princeton, NJ 08540",,Indeed
373,Machine learning Engineer,,You see patterns when looking at data of user behavior and can see the user’s intention.No NLP experience is required.We will provide all the training needed.,"Evergreen, CO 80437",,Indeed
374,Data Scientist,,"Familiarity with advanced data science topics like Autoencoder, numerical optimization, transfer learning etc.","Chesterfield, MO 63017",,Indeed
375,Data Engineer,,"Establish the processes needed to achieve operational excellence in data fidelity, data privacy, system reliability, and enabling rapid experimentation and data…","Menlo Park, CA 94025+1 location",,Indeed
376,Data Scientist,,"Must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks.","Tampa, FL+2 locations",,Indeed
377,Data Analyst ,,6+ months experience working with data.We need influencers who can align cross-functional partners to ensure the best possible experience for our platforms.,"Austin, TX",,Indeed
378,Data Scientist,Remote,"Solid understanding of data science methods (both statistical and machine learning models).Perform data mining towards telematics data collected from GPS,…",Wisconsin•Remote,"$162,500.00 ",Indeed
379,Data Analyst ,,"Data Scientist Analyst: You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large…","Atlanta, GA","$90,000.00 ",Indeed
380,Data Science professor,Remote,We are seeking qualified applicants possessing current knowledge and teaching experience in all aspects of Data Analytics and Data Science including: Data…,"Irvine, CA•Remote",,Indeed
381,Statistician,,"The Statistician will provide scientific, technical, and professional assistance including but not limited to: scientific, clinical, and professional support to…","Atlanta, GA 30341",,Indeed
382,Data Scientist,,Experience working in a data intensive environment and translating business needs into data requirements.The Senior Data science and analytics engineer is a…,"Conyers, GA 30012",,Indeed
383,Data Scientist,,This program provides students with the advanced education necessary to draw insights from real data and apply analytical skills to solve practical problems.,"San Jose, CA",,Indeed
384,Data Analyst ,,"Analyze data for efficiencies in workload, error analysis and possible solutions, reconciliation of data, etc.Basic Commercial Insurance knowledge preferable.","Township of Warren, NJ",,Indeed
385,Data Analyst ,,"Assembling large, complex data sets that meet functional/non-functional business requirements.Everyone is working on the same projects; creating and testing as…","Franklin Lakes, NJ",,Indeed
386,Statistician,,"The ideal candidate is familiar with a full range of mathematical statistical data, especially transportation related data.","Salt Lake City, UT","$123,976.50 ",Indeed
387,Postdoctoral Researcher,,"Analyze high-order data collected from high-throughput experiments and facilities.In this position, the researcher will contribute to the design and analysis…","San Francisco Bay Area, CA",,Indeed
388,Machine learning Engineer,,"7+ years’ experience working in data analytics, data science, or related field.Understanding of data engineering pipelines and processes.","Detroit, MI",,Indeed
389,Data Scientist,,"Our teams work on multiple projects simultaneously, leveraging advanced data analytics and problem-solving techniques.Contribute to internal firm activities.","San Francisco, CA+8 locations",,Indeed
390,Data  Analyst,,"Experience sourcing data from relational databases (DB2, postgresql, sqlite) and No SQL data stores (hadoop, REStful APIs, kafka).","Minneapolis, MN 55402 (Downtown West area)",,Indeed
391,Statistician,,The Engineering Statistician will work effectively with others to address engineering and business needs within a rigorous statistical framework.,"East Hartford, CT 06118",,Indeed
392,Machine learning Engineer,,"Experience building large scale data processing pipelines.Investigate innovative machine learning, artificial intelligence and statistic techniques for health…","Gaithersburg, MD 20878",,Indeed
393,Statistician,,Provides biostatistics expertise in clinical development projects by supporting project statisticians.Support clinical development and study planning.,"Parsippany, NJ",,Indeed
394,Data Science professor,,"Information and decision systems (control, optimization, robotics, data science, machine learning, communications, networking, information theory, signal…","Philadelphia, PA 19104 (University City area)",,Indeed
395,Data Science professor,,"This course introduces deep artificial neural networks, reviewing the theoretical concepts and practical applications in data science.",United States,,Indeed
396,Machine learning Engineer,,"These solutions must overcome issues of complex data (e.g., VLDB, multi-structured, ""big data"", etc.).Build models, solutions and infrastructure to support…","Charlotte, NC 28202 (First Ward area)",,Indeed
397,Machine learning Engineer,,"Degree in Computer Science, Mathematics, a related field, or equivalent experience.Experience using content publishing tools to write, format, manage, and…","East Palo Alto, CA",,Indeed
398,Data Scientist,,Experience in data science and designing/operating a surveillance system integrating multiple data systems.Monitor and analyze CDPH emergency operations staff…,"Richmond, CA",,Indeed
399,Postdoctoral Researcher,,"Experience in computational science and software development.PhD in a field of materials/physical sciences, applied mathematics, or engineering.","Livermore, CA 94551",,Indeed
400,Data Science professor,,Responsible to provide excellence in teaching through the fulfillment of the missions and strategic goals of the School of Business.,"Saint Paul, MN 55113",,Indeed
401,Data  Analyst,,Experience working with different lines of business to accomplish modeling and data solutions by translating business requirements into data needs/techniques.,"Enfield, CT 06082",,Indeed
402,Data Engineer,,"Experience with automation and improving overall data quality.Our team is responsible for building data products/capabilities on the Data Platform, that will…","Enfield, CT",,Indeed
403,Data Analyst ,,"Strong Healthcare data knowledge and hands on experience (medical claims data, clinical data, pharmacy data and eligibility data).","Bloomfield, CT",,Indeed
404,Data Engineer,,Develop data migration plans to migrate legacy on-premises databases into AWS data stores.Conduct research on different approaches to data storage in AWS.,"Des Plaines, IL",,Indeed
405,Machine learning Engineer,,"7+ years’ experience working in data analytics, data science, or related field.Understanding of data engineering pipelines and processes.","Detroit, MI",,Indeed
406,Data Analyst ,,"1 year using AI and data science.Familiarity with using cloud services AWS, Google, Azure or Big Data tools Hadoop, Hive, Spark in data science solutions.","Boston, MA+4 locations",,Indeed
407,Data Scientist,,Bachelor's or master's degree required in any discipline with strong record of academic success in quantitative and analytic coursework such as operations…,"San Francisco, CA+5 locations",,Indeed
408,Data Scientist,,"The discipline to fast-fail when data refutes theory;PhD in Engineering, Technology, Computer Science, Machine Learning, Robotics, Statistics, Mathematics or a…","North Reading, MA 01864",,Indeed
409,Data Analyst ,,"This function is not intended for employees performing the following work: production of standard or self-service operational reporting, casual inference led …","Horsham, PA 19044",,Indeed
410,Data Scientist,Remote,"Experience with automating data science and machine learning processes and pipelines.Bachelor’s in data science, engineering, computer science, similar…",Remote•Remote,,Indeed
411,Data Scientist,,"Develop and perform standard queries to ensure data quality, identify data inconsistencies, missing data and resolve as needed.","Parsippany, NJ 07054",,Indeed
412,Data Scientist,,"Masters or Doctoral degree in ecology, environmental science, data science, computer science, or a related field.Experience in data management and/or analysis.","Santa Barbara, CA 93106",,Indeed
413,Data Scientist,,"APCO Insight’s data science team is increasingly involved in assignments employing statistics (e.g., linear/logistics regression, clustering) to develop…","Raleigh, NC+3 locations",,Indeed
414,Data Scientist,,"Strong data engineering, and data management expertise with demonstrated data transformation and manipulation experience.","Boston, MA",,Indeed
415,Data Scientist,,"Create data views and own data quality.This role is a mix of data science, engineering and business analytics.Partner with business to solve problems.","Atlanta, GA 30328",,Indeed
416,Data Scientist,Remote,Perform quantitative analysis and data mining of external industry data as well as VMware data.Perform and/or work closely with the data sciences CoE and other…,"Jacksonville, FL+2 locations•Remote",,Indeed
417,Data Scientist,,"Transform raw source data into analytics-ready data models using reproducible tools.2+ years of experience in a data science, analytics, or research role; or a…","Brooklyn, NY",,Indeed
418,Data Scientist,Remote,"Have strong SQL skills and enjoy extracting and manipulating data.Help analyze, explore, model and gain insight from data.",New York State•Remote,,Indeed
419,Data Scientist,,Experience with large data sets and distributed computing (Hive/Hadoop).The perfect candidate will have experience building and managing world-class analytics…,"Menlo Park, CA 94025",,Indeed
420,Data Analyst ,,"Bachelor’s degree and/or advanced certification in computer science, data science, or similar technical field; or 4 years of experience using software for data…","Raleigh, NC","$76,000.00 ",Indeed
421,Machine learning Engineer,,"MS or Ph.D. candidate computer science, or related STEM field.Understanding and modeling human behavior is essential for driving safely through crowded…","San Jose, CA",,Indeed
422,Data Analyst ,,"Data Scientist Analyst: You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large…","Atlanta, GA","$90,000.00 ",Indeed
423,Data Analyst ,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA",,Indeed
424,Data Analyst ,,"BA/BS in data science, finance or business administration preferred.Strong research and quantitative data modeling skills: Experience working with large data…","Menlo Park, CA 94025",,Indeed
425,Data Scientist,Remote,"Analyze data and prepare management summaries related to work stream results, performance mgmt.The Market Sr Clinical Pharmacist serves as a subject matter…","Meridian, ID 83680•Remote",,Indeed
426,Statistician,,Job Description: Arrive Fifteen (15) minutes prior to tip-off of scheduled game.Maintain an accurate account of all processes associated with the game.,"Los Angeles, CA+1 location","$19,500.00 ",Indeed
427,Data Science professor,,Highlighted position: Assistant or Associate Professor with expertise and research in data science related to human performance; a joint appointment in the…,"San Antonio, TX 78249",,Indeed
428,Data Scientist,,"Advanced knowledge of cloud and data science technology and architecture.Possesses a strong knowledge of cloud, data science, and technology from SAS or open…","Cary, NC 27513",,Indeed
429, Data Scientist,,Experience developing solutions leveraging data science and analytics.Bachelor's degree or equivalent experience.This is a customer facing role.,United States,"$122,300.00 ",Indeed
430,Statistician,,"The ideal candidate is familiar with a full range of mathematical statistical data, especially transportation related data.","Salt Lake City, UT","$123,976.50 ",Indeed
431,Machine learning Engineer,,Collaborate with engineers and data scientists to push the pace of innovation and experimentation by introducing best practices.,"Austin, TX 78744+1 location (Franklin Park area)",,Indeed
432,Machine learning Engineer,,An advanced degree in Computer Science or a related field with a focus on machine learning and data science.Collaborate with BTO staff in the assessment of the…,"Washington, DC (Southwest Federal Center area)",,Indeed
433,Data Analyst ,,"2+ years of demonstrated quantitative and qualitative data science experience with impact to a business, a track record of problem solving using software…","Bellevue, WA",,Indeed
434,Data Analyst ,,"Work directly with users in defining new application requirements and resolving project issues.Respond to user problems, explain new technologies, and present…","Chicago, IL 60661 (Near West Side area)",,Indeed
435,Machine learning Engineer,,"Artificial intelligence, machine learning, big data and cloud platforms form ""the brain"" underpinning these solutions.Measured on ROI of asset investment.","San Francisco, CA",,Indeed
436,Machine learning Engineer,,"QA/QC of historical data.Monitoring and maintaining real-time data collection.The participant will learn specialized data collection techniques using ADVs,…","Vicksburg, MS",,Indeed
437,Data Scientist,,Participate in troubleshooting and resolving data integration issues such as data quality.Experience using Python and Spark/Python/SQL and common data science…,"St. Louis, MO 63110 (Botanical Heights area)",,Indeed
438,Statistician,,"Our robust pipeline includes investigational therapies in varied stages of clinical development, from recently approved products to earlier-stage molecules in…","Gaithersburg, MD 20878+1 location",,Indeed
439,Data Science professor,,It provides students with the skills to conduct analyses with large sets of data to inform business decisions.,"San Francisco, CA 94133 (Russian Hill area)",,Indeed
440,Machine learning Engineer,,Work with a team of engineers and cross-divisionally with our partners to identify and define business problems suitable for artificial Intelligence Actively…,"Atlanta, GA",,Indeed
441,Data Scientist,Remote,"Key areas of expertise may be in the realms of data science, analytics & research, or data engineering.You’re familiar with modern applications of data science…",Remote•Remote,,Indeed
442,Data Scientist,Remote,Advanced data skills using R or Python.5 or more years experience in data analysis and statistics.We utilize benchmarking and peer organization data to ensure…,California•Remote,,Indeed
443,Data Scientist,,"Experience performing data extraction, cleaning, analysis and presentation for medium to large datasets.Work cross-functionally to define problem statements,…","Menlo Park, CA 94025+2 locations",,Indeed
444,Data Scientist,Remote,The Manager - Data Analytics is responsible for the oversight and development of data analysts and supports other ICAS teams by helping to design and perform…,Remote•Remote,,Indeed
445,Statistician,Remote,"Experience with data science techniques including machine learning and associated software a plus.Assesses relevant literature as well as existing data,…",United States•Remote,,Indeed
446,Data Scientist,,"An understanding of data pipelining and automation, with experience using PySpark on large data sets – over 1B data points.","New York, NY 10019 (Midtown area)",,Indeed
447,Postdoctoral Researcher,,"Candidates will learn the underpinnings of data science techniques to supplement existing biostatistical knowledge.Please, no phone calls or emails.","Kenilworth, NJ",,Indeed
448,Data Scientist,,Fraud Analytics – analysts on the fraud team use advanced data mining techniques to identify and fight online fraud.,"Chicago, IL",,Indeed
449,Data Scientist,Remote,Build and execute the data science strategy.Implement agile framework to data science discipline.Successful track record of building data science platforms.,"Hire, NE•Remote",,Indeed
450,Data Scientist,Remote,Collaborate with engineering teams to design and implement software solutions for data science problems.Understand ambiguous business problems and convert them…,"Northbrook, IL•Remote","$108,000.00 ",Indeed
451,Data Scientist,Remote,This opportunity is great for professionals with a shared vision of building an extraordinary platform and serve healthcare consumers through the power of data…,Remote•Remote,,Indeed
452,Data Scientist,,"Experience using data to drive product and business decisions.You will be formulating product strategy, understanding key drivers of advertiser value, and…","Menlo Park, CA 94025",,Indeed
453,Data Analyst ,,You have 2+ years of experience in a data analytics and/or data science role using quantitative tools to drive business decisions.,"Los Angeles, CA 90028 (Hollywood area)",,Indeed
454,Data Scientist,,"Examples include, visualization tasks, BI meta data model development, data loading, data cleansing, etc.This position is not ideal for a data scientist who…","Baltimore, MD 21201 (Mid-Town Belvedere area)",,Indeed
455,Data Analyst ,,3+ years working as a data analyst or equivalent experience working with data within a role or function.Perform exploratory data analysis to inform business…,"Portland, OR 97204+11 locations",,Indeed
456,Data Scientist,,"Drive the design, building, and launching of new data models and data pipelines in production.Interface with engineers, product managers and product analysts…","San Mateo, CA 94401 (Central Business District area)",,Indeed
457,Statistician,,"Machine learning, data analysis, applied statistics, and uncertainty quantification.Quantum information sciences, including quantum computing, networking, and…","Lemont, IL 60439",,Indeed
458,Machine learning Engineer,,"From these large datasets, you will create training and test data sets that are usable by AI/ML applications.No less important, the interdisciplinary nature of…","Oak Ridge, TN 37830",,Indeed
459,Data Scientist,,2 years of experience in data science or advanced analytics in industry.Our Merchandising Analytics team is building out a multi-faceted data science tool that…,"Charlotte, NC 28202 (Downtown Charlotte area)",,Indeed
