title,description,state,job_site
Data Analyst,"
            Be involved in publication planning and execution for clinical studies and projects; provide clinical <b>science</b> support for European MDR requirements. Must have a doctorate degree and 0-3 years of experience. Full-time, remote position.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Scientist,"
            Full-time, temporary, and remote candidate will process purchase orders utilizing Salesforce, complete orders for digital products, and resolve purchase order discrepancies. Must have basic knowledge of Salesforce and great communication skills.
        ",,
Data Analyst,"
            Remote position for an environmental health and safety systems coordinator. Will report claims to insurance carrier, manage workers comp claims, audit/verify OSHA logs, and provide reports, accident <b>data</b>, and training. Need a BA/BS and five years of exp.
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Data Scientist,"
            Full-time remote position will generate content/provide leadership overseeing content development, coordinate project plans, resources, and play a critical role in managing client/physician satisfaction. Must have a Ph.D. and five years of exp. 
        ",,
Director of work,"
            Full-time job, some remote work. Travel. Needs five years' work related experience and experience implementing <b>data</b> management systems. Lead consumer packaged goods and customers in the configuration and implementation of applications, manage projects.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Researcher,"
            P/T remote researcher needed to confirm facts in each piece of content or to perform original research/reporting on a specific topic. Expertise in fact-checking skills, independent research &amp; reporting skills, analytical skills, &amp; attention to detail req.
        ",,
Data Analyst,"
            Work with engineers to support full-cycle development of online training programs. Conduct quality analysis and reporting. Requires extensive technical knowledge, a BS degree, and related experience. Full-time, 6-month+ contract with benefits. 
        ",,
Data Engineer,"
            Working remotely or in the office, manage lobal commercial operations for channel business. Lead projects and teams, analyze <b>data</b>, and ensure success. Must have a bachelor's degree and 5 years of channel management or similar experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Scientist,"
            Partial remote position will optimize the conversion to sales from qualified opportunities/contacts, project management, product management, research/develop opportunities, and gather <b>data</b> on market trends. BA degree required and one year of experience.
        ",,
Data Engineer,"
            Partial remote role will develop and manage projects, manage virtual teams, identify and document project risks, track project status, timelines, and budgets, and write validation plans and reports. HS diploma/GED and 10+ years' exp. required. Travel 25%.
        ",,
Data Engineer,"
            Partial remote role will develop and manage projects, manage virtual teams, identify and document project risks, track project status, timelines, and budgets, and write validation plans and reports. HS diploma/GED and 10+ years' exp. required. Travel 25%.
        ",,
Data Engineer,"
            Partial remote role will develop and manage projects, manage virtual teams, identify and document project risks, track project status, timelines, and budgets, and write validation plans and reports. HS diploma/GED and 10+ years' exp. required. Travel 25%.
        ",,
Researcher,"
            General toxicology research technician needed for a part-time opportunity. May involve some evening or weekend hours. Responsible for cleaning cages and performing clinical observations of animals. HS diploma or GED and MS Office skills required.
        ",,
Data Scientist,"
            Partially remote position for a DevOps, DataOps engineer. Will develop and manage continuous integration and continuous delivery pipelines, manage software deployment, troubleshoot issues, and help manage Linux environment. Need a BS and five years' exp.
        ",,
Data Analyst,"
            Support associate sought for a part-time position responsible for supporting and implementing strategy plans, performing various administrative tasks, answering inquiries, assisting event needs. HS diploma, four+ years' office experience required. 
        ",,
Data Scientist,"
            Full-time, partially remote position. Will update roadmaps, interface with staff, translate requirements and optimize activities. Bachelor's degree and 10+ years' related development experience required. Travel.
        ",,
Health Care,"
            Responsible for editing and analyzing manuscripts and medical textbooks and developing courses and workshops. Must have a Ph.D. in a related field with prior experience as a medical/scientific editor. Full-time telecommuting role.
        ",,
Data Engineer,"
            Full-time role with remote option. He/she will develop ML models, develop and implement algorithms for analysis, and perform <b>data</b> analyses. Develop training processes for ML models. Bachelor's degree and proficiency in Python and Linux required. Travel.
        ",,
Data Engineer,"
            Full-time role with remote option. He/she will develop ML models, develop and implement algorithms for analysis, and perform <b>data</b> analyses. Develop training processes for ML models. Bachelor's degree and proficiency in Python and Linux required. Travel.
        ",,
Data Engineer,"
            Full-time role with remote option. He/she will develop ML models, develop and implement algorithms for analysis, and perform <b>data</b> analyses. Develop training processes for ML models. Bachelor's degree and proficiency in Python and Linux required. Travel.
        ",,
Health Care,"
            Full-time, remote position. Will review documents, execute strategies, provide technical guidance, lead projects and develop best practices. Bachelor's degree and 2+ years' related experience required. 
        ",,
Data Engineer,"
            Drive strategic and tactical marketing activities for the Cell Biology business unit for all stages of the sales funnel. Must have a bachelor's degree and 6+ years' experience in a strategic/tactical marketing role. Full-time, remote position.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Analyst,"
            Provide end-to-end sales operations support for the BPG group. Duties include engaging with commercial leadership to drive accounting planning and conduct commission cycle <b>data</b> consolidation and offer performance management. Remote opportunity.
        ",,
Data Engineer,"
            Remote position will drive the implementation/execute of the clinical biomarker, create/manage diagnostic plan, execute contracts, ensure samples are processed, establish <b>data</b> collection, and development plans. BA degree required and five years of exp.
        ",,
Data Scientist,"
            Remote position will identify key leaders, provide technical/clinical insight with applications, develop relationships, act as the internal/external interface for clinical activities, and discuss initiatives. BA degree required and five years of exp. 
        ",,
Director of work,"
            Cytogenomics clinical laboratory director needed for a full-time opportunity. This position offers the option to work remotely. Will analyze and report on <b>data</b>. MD or PhD in a related field required. Experience with bioinformatics preferred.
        ",,
Researcher,"
            Genetic cancer epidemiology post-doctoral research fellow needed for a full-time opportunity. This position may offer option for remote work. Will be responsible for working on integrative tumor analyses. PhD or an equivalent degree required.
        ",,
Director of work,"
            Remote job for candidate who will establish pharmaceutics strategies in support of drug development, act as the primary point of contact for outsourcing modeling projects, and communicate pharmacometrics <b>data</b>. PhD and 12 years' related exp. req.
        ",,
Data Analyst,"
            Work partially from home and perform inferential and/or descriptive <b>data</b> analysis using advanced statistical methods, serve as a subject expert, engage closely with MCH programs and create and disseminate <b>data</b> findings. The salary is $24.00 per hour.
        ",,
Data Scientist,"
            Review high-volume, outpatient medical records to ensure complete and accurate coding. Requires an associate's degree, coding certification, strong technical proficiency, and 3+ yrs' experience. Work from home full-time with a flexible schedule. 
        ",,
Software Engineer,"
            Partial remote job for candidate who will ensure success in designing, building, optimizing, and deploying high-volume, cloud-based solutions and evaluate design proposals where required. BS degree and 10 years' programming experience required.
        ",,
Software Engineer,"
            Partial remote job for candidate who will ensure success in designing, building, optimizing, and deploying high-volume, cloud-based solutions and evaluate design proposals where required. BS degree and 10 years' programming experience required.
        ",,
Software Engineer,"
            Partial remote job for candidate who will ensure success in designing, building, optimizing, and deploying high-volume, cloud-based solutions and evaluate design proposals where required. BS degree and 10 years' programming experience required.
        ",,
Software Engineer,"
            Partial remote job for candidate who will ensure success in designing, building, optimizing, and deploying high-volume, cloud-based solutions and evaluate design proposals where required. BS degree and 10 years' programming experience required.
        ",,
Software Engineer,"
            Partial remote job for candidate who will ensure success in designing, building, optimizing, and deploying high-volume, cloud-based solutions and evaluate design proposals where required. BS degree and 10 years' programming experience required.
        ",,
Software Engineer,"
            Partial remote job for candidate who will ensure success in designing, building, optimizing, and deploying high-volume, cloud-based solutions and evaluate design proposals where required. BS degree and 10 years' programming experience required.
        ",,
Data Scientist,"
            Full-time, temporary position with the option of remote work. Will be responsible for contributing to a COVID-19 response mission by performing surveillance reporting, <b>data</b> integration &amp; quality assurance, and working on special projects.
        ",,
Data Engineer,"
            The process engineer will support process optimization, prepare technical reports, &amp; help run systems for future state manufacturing. Must have an engineering degree &amp; at least three years' experience in production system support. Remote opportunity.
        ",,
Data Scientist,"
            Work with teams of scientists to gather, analyze, and report <b>data</b> from clinical studies in genetic testing. Requires high-level detail/accuracy, analytical skills, a bachelor's degree, and 7+ yrs' experience. Work from home full-time.
        ",,
Data Scientist,"
            Work with teams of scientists to gather, analyze, and report <b>data</b> from clinical studies in genetic testing. Requires high-level detail/accuracy, analytical skills, a bachelor's degree, and 7+ yrs' experience. Work from home full-time.
        ",,
Data Scientist,"
            Work with teams of scientists to gather, analyze, and report <b>data</b> from clinical studies in genetic testing. Requires high-level detail/accuracy, analytical skills, a bachelor's degree, and 7+ yrs' experience. Work from home full-time.
        ",,
Data Scientist,"
            Work with teams of scientists to gather, analyze, and report <b>data</b> from clinical studies in genetic testing. Requires high-level detail/accuracy, analytical skills, a bachelor's degree, and 7+ yrs' experience. Work from home full-time.
        ",,
Teacher,"
            Part-time position will perform simple-to-complex diagnostic tests/laboratory services, ensure sample suitability/stability, accepts/processes for on-site testing, and ensure quality control. AA degree required and three years of experience.
        ",,
Data Analyst,"
            The regulatory administrator database analyst will be receiving RAD processing packages &amp; entering product approval requests into the database. Must have a bachelor's degree &amp; proficient Microsoft Office skills. This is a work-from-home position.
        ",,
 Consultant,"
            Full-time job, remote during pandemic. Needs experience implementing content systems and two years' work related experience.Serve as a key project teammate in the rapid configuration and implementation of applications and content manage solution design.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Analyst,"
            Partially remote, full-time position. Duties include conducting site qualification, monitoring, management, &amp; close-out visits for specified studies, ensuring the quality of submitted <b>data</b>, and handling follow-up &amp; reporting. Bachelor's required.
        ",,
Data Scientist,"
            Partial remote job for candidate who will perform literature review, prepare clinical, and medical documents needed for regulatory submissions and ensure continuous improvements in writing style. BA/BS degree and 4 years' medical writing exp. req.
        ",,
Data Analyst,"
            Full-time position. Remote. Will draft reports, collaborate with team, adhere to timelines, resolve issues and provide industry-specific expertise. Bachelor's degree and 1+ years' related experience required.
        ",,
Data Engineer,"
            Partial remote position will lead customers in configuration/implementation of applications, define strategies, business processes, implementation program, provide subject matter expertise, and solution design. BA degree preferred and ten years of exp. 
        ",,
Director of work,"
            Associate Director Medical Writer Lead is needed for a remote role. He/She will write and edit clinical regulatory documents and mentor the clinical staff as needed. Master's degree and at least 10 years of related experience required.
        ",,
Data Engineer,"
            Be responsible for leading the processes, standard work, timelines, and success metrics across key service transformation workstreams. Must have a bachelor's degree and 5 years of industry experience and knowledge. WFH.
        ",,
Data Engineer,"
            Be responsible for leading the processes, standard work, timelines, and success metrics across key service transformation workstreams. Must have a bachelor's degree and 5 years of industry experience and knowledge. WFH.
        ",,
Data Engineer,"
            Be responsible for leading the processes, standard work, timelines, and success metrics across key service transformation workstreams. Must have a bachelor's degree and 5 years of industry experience and knowledge. WFH.
        ",,
Data Engineer,"
            Be responsible for leading the processes, standard work, timelines, and success metrics across key service transformation workstreams. Must have a bachelor's degree and 5 years of industry experience and knowledge. WFH.
        ",,
Data Engineer,"
            Be responsible for leading the processes, standard work, timelines, and success metrics across key service transformation workstreams. Must have a bachelor's degree and 5 years of industry experience and knowledge. WFH.
        ",,
Data Engineer,"
            Remote position with some travel for a technical project manager. Will lead project design, <b>data</b> analysis and report writing, develop and deliver training, troubleshoot technical issues, and facilitate communication. Need a BS and five years of exp.
        ",,
Data Scientist,"
            Full-time job, some remote work. Travel. Needs a bachelor's degree and five years' work related experience. Lead project teams to define and execute overall plans to meet goals, engage internal customs during each project stage, develop resource plans.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
Data Engineer,"
            Full-time job, remote option. Needs bachelor's degree and experience in oncology, cell and gene therapy or rare disease trials. Hunt for new business from potential companies, secure RFPs and review RFP detail provided by prospective clients, meet goals.
        ",,
